#	run	go		gi		gc		sh	fr			fru			a			au			b			bu			c			cu			th			thu			el			elu			a_			au_			c_			cu_
	86	15.0	30.0	30.0	5	0.173604	0.005790	1.180515	0.067512	0.863074	0.046248	1.119797	0.036197	12.605041	6.430506	43.635589	6.425166	1.175625	0.076960	1.246237	0.057589
	87	15.0	5.0		15.0	5	0.212155	0.005206	1.913142	0.085982	0.516583	0.035613	1.099290	0.024609	12.645453	0.567678	12.260463	2.252768	1.863329	0.080238	1.659967	0.073680
	88	15.0	30.0	15.0	5	0.195056	0.005373	1.417490	0.056906	0.699285	0.034683	1.139591	0.019586	7.079379	2.083442	39.495619	5.654644	1.416643	0.060543	1.276696	0.031403
	89	15.0	5.0		5.0		5	0.255039	0.004025	1.908837	0.087293	0.522529	0.031563	1.086131	0.027056	13.350775	0.681644	14.403242	2.615388	1.883356	0.084615	1.694210	0.069379
	90	15.0	30.0	5.0		5	0.224909	0.006068	1.578113	0.104043	0.607691	0.060658	1.176331	0.040074	7.380383	0.954720	33.688692	7.804397	1.621469	0.139085	1.339574	0.053188
	91	30.0	5.0		30.0	5	0.185637	0.002684	1.974085	0.074957	0.522510	0.019278	1.039595	0.029794	11.419566	0.836833	18.889748	3.153358	1.925611	0.073786	1.569608	0.050712
	92	30.0	30.0	30.0	5	0.170390	0.003850	1.728809	0.106619	0.558276	0.052111	1.154135	0.033217	6.412193	0.768342	22.102378	5.127536	1.729355	0.112224	1.304741	0.054467
	93	30.0	5.0		15.0	5	0.215559	0.004564	2.050583	0.084769	0.497163	0.024333	1.046717	0.029242	11.859647	0.800251	20.877956	3.870084	2.001149	0.082758	1.634386	0.069378
	94	30.0	30.0	15.0	5	0.192827	0.004357	1.830959	0.090237	0.516117	0.037877	1.164979	0.031480	7.232245	0.815531	23.110000	5.442881	1.866727	0.103616	1.370777	0.057951
	95	30.0	5.0		5.0		5	0.237789	0.003628	2.062415	0.076621	0.496156	0.020899	1.041988	0.027902	12.270649	0.757567	23.628116	4.549264	2.027454	0.077907	1.663385	0.066193
	96	30.0	30.0	5.0		5	0.211634	0.005216	1.885632	0.070184	0.495987	0.021438	1.169240	0.028449	7.719680	0.783350	24.793764	5.453390	1.944371	0.071951	1.419178	0.054176
	97	45.0	5.0		30.0	5	0.123378	0.014231	1.972780	0.082519	0.515171	0.026048	1.062040	0.033841	11.613318	0.997913	20.845465	4.138500	1.920425	0.078597	1.596661	0.070738
	98	45.0	30.0	30.0	5	0.111722	0.013448	1.683481	0.093128	0.585821	0.042030	1.126816	0.043326	6.855572	1.188688	21.861432	3.424023	1.717758	0.114588	1.294456	0.060837
	99	45.0	5.0		15.0	5	0.136361	0.010959	1.978501	0.080021	0.515768	0.022615	1.056666	0.035419	11.968880	1.081227	23.242336	4.784796	1.939506	0.076948	1.618928	0.072489
	100	45.0	30.0	15.0	5	0.122162	0.010990	1.666171	0.086882	0.596325	0.030204	1.119536	0.047005	6.703542	1.512749	25.586367	4.493750	1.659282	0.095246	1.294735	0.057115
	101	45.0	5.0		5.0		5	0.148682	0.011078	2.030570	0.082254	0.497612	0.024475	1.064996	0.034722	12.269003	1.039284	25.855132	5.482678	2.008799	0.088523	1.668789	0.086707
	102	45.0	30.0	5.0		5	0.131034	0.009446	1.788131	0.085780	0.526468	0.037113	1.176552	0.042129	7.321113	1.126154	27.238872	4.697087	1.907014	0.126090	1.384739	0.066609
	103	15.0	15.0	5.0		5	0.222452	0.002598	1.818568	0.019784	0.513961	0.004305	1.172959	0.011290	9.280298	0.337873	14.505003	2.090322	1.855476	0.022517	1.454859	0.026754
	104	15.0	15.0	5.0		5	0.225866	0.003855	1.850965	0.022757	0.501671	0.005787	1.176019	0.015516	10.219003	0.489463	19.061461	2.775695	1.908440	0.028045	1.512139	0.036056
	105	15.0	15.0	5.0		1	0.373689	1.063654	1.146365	0.032531	0.879432	0.039065	1.152948	0.036863	20.560022	23.585750	58.358581	8.461712	1.144082	0.083214	1.287740	0.070962
	106	15.0	15.0	5.0		2	0.265696	0.009782	1.259001	0.026220	0.784537	0.012390	1.148776	0.019034	6.756470	0.831241	39.622594	6.304506	1.329272	0.028554	1.275527	0.039503
	107	15.0	15.0	5.0		3	0.246602	0.009386	1.438759	0.082517	0.679458	0.059629	1.155189	0.026715	8.079216	2.058608	28.419408	4.396645	1.503862	0.106264	1.302907	0.043926
	108	15.0	15.0	5.0		4	0.233186	0.004562	1.637212	0.114277	0.587046	0.068769	1.167441	0.035020	8.538599	0.773548	21.608580	4.731662	1.687916	0.141049	1.370372	0.066882
	109	15.0	5.0		15.0	1	0.249961	0.015675	1.289760	0.060894	0.841329	0.054823	1.040546	0.013565	15.011309	5.574577	15.186026	2.712864	1.244619	0.070148	1.309099	0.049870
	110	15.0	5.0		15.0	2	0.237474	0.007290	1.474305	0.103446	0.717142	0.070249	1.064974	0.027223	12.456533	1.074723	12.093388	2.015082	1.423712	0.098106	1.404132	0.080012
	111	15.0	5.0		15.0	3	0.229057	0.008727	1.717884	0.091968	0.583088	0.050511	1.108936	0.030632	12.790260	0.644624	11.054144	2.055027	1.661127	0.087667	1.580495	0.086160
	112	15.0	5.0		15.0	4	0.219881	0.005906	1.835082	0.086850	0.538235	0.040866	1.111363	0.027926	12.773487	0.599913	11.599882	2.324670	1.781523	0.082197	1.639763	0.077074
	113	15.0	5.0		15.0	6	0.204908	0.004226	1.972364	0.086038	0.503870	0.031526	1.083372	0.024323	12.479183	0.639787	12.560994	2.185477	1.922924	0.082130	1.665452	0.072450
	114	15.0	5.0		15.0	7	0.198808	0.003747	2.018437	0.084968	0.496231	0.028812	1.066372	0.024111	12.321387	0.611577	12.909807	2.163051	1.970652	0.080700	1.664259	0.069551
	115	15.0	5.0		15.0	8	0.193331	0.003129	2.062396	0.085455	0.489132	0.027044	1.051034	0.024057	12.153753	0.613949	13.452951	2.352661	2.012110	0.080811	1.661846	0.069314
	116	15.0	5.0		30.0	8	0.159382	0.003330	2.003635	0.082528	0.505182	0.028736	1.055203	0.023217	11.592494	0.598922	11.827791	1.917821	1.945964	0.077345	1.597557	0.062844
	117	15.0	5.0		30.0	7	0.163956	0.003910	1.957454	0.084769	0.515140	0.031274	1.066481	0.024069	11.845302	0.591176	11.721959	1.961734	1.902691	0.078769	1.603042	0.062112
